time,A2,A3,A4,A5,A6,A7,A8,A9,target
2.1764705,0.0,0.2,-4.0,-2.6,0.0,-3.2727273,2.2173913,6.428571,5
-0.05882353,0.0,-0.4,0.0,0.1,1.0,-0.27272728,-0.39130434,-0.14285715,1
-0.23529412,5.0,0.0,0.0,-0.2,-2.8,0.18181819,0.0,0.0,1
0.64705884,0.0,-0.4,0.0,-1.5,3.1,-1.4545455,0.95652175,2.857143,4
0.23529412,0.0,1.2,2.0,0.4,2.2,0.6363636,0.08695652,-0.14285715,1
0.3529412,0.0,1.9,0.0,0.5,1.3,1.0909091,0.26086956,-0.14285715,1
-0.23529412,0.0,-0.5,2.0,0.0,0.0,-0.18181819,-0.3043478,-0.14285715,1
-0.05882353,4.0,0.3,3.0,0.0,-0.6,0.27272728,0.0,0.0,1
0.0,-4.0,0.0,0.0,0.1,-1.4,-0.18181819,-0.2173913,0.0,1
0.5882353,0.0,1.3,5.0,0.1,0.0,0.18181819,0.3478261,0.71428573,4
3.5294118,-2.0,2.3,0.0,1.4,0.0,-3.3636363,-0.3478261,2.2857144,5
-0.47058824,0.0,-0.3,0.0,-0.2,1.4,0.36363637,-0.13043478,-0.14285715,1
-0.3529412,-4.0,2.4,0.0,-0.2,0.0,2.6363637,1.0434783,-0.14285715,1
-0.47058824,0.0,-0.6,0.0,-0.9,1.7,0.09090909,0.4347826,0.85714287,1
-0.3529412,5.0,-0.4,2.0,-0.2,0.0,0.0,-0.17391305,-0.14285715,1
0.64705884,0.0,-0.4,2.0,-3.2,0.0,-1.4545455,2.5217392,5.571429,4
0.05882353,1.0,0.3,0.0,0.2,0.1,0.09090909,-0.2173913,-0.14285715,1
-0.47058824,-3.0,-0.7,0.0,-0.2,1.4,-0.09090909,-0.3043478,-0.14285715,1
0.64705884,5.0,-0.4,0.0,0.7,0.5,-1.4545455,-0.9130435,-0.14285715,1
0.5882353,0.0,-0.6,-2.0,-2.1,0.0,-1.6363636,1.4347826,3.857143,4
-0.47058824,0.0,-0.4,0.0,-0.9,2.5,0.27272728,0.47826087,0.85714287,1
-0.47058824,0.0,-0.7,0.0,-0.8,0.2,0.09090909,0.26086956,0.5714286,1
0.23529412,0.0,0.3,1.0,0.2,-1.2,-0.09090909,-0.17391305,0.0,1
0.5882353,0.0,-0.2,-2.0,-2.8,0.0,-1.1818181,2.3043478,4.857143,4
0.3529412,-2.0,-0.5,0.0,0.4,-1.2,-1.0909091,-0.65217394,0.0,1
-0.47058824,0.0,2.2,0.0,-0.9,0.6,2.6363637,1.6521739,0.85714287,1
-0.47058824,5.0,-0.5,0.0,-1.3,0.2,0.18181819,0.82608694,1.4285715,1
-0.4117647,-2.0,0.7,0.0,-1.8,0.0,1.1818181,1.7826087,2.2857144,1
0.0,0.0,-0.1,-2.0,0.2,2.1,-0.18181819,-0.39130434,-0.14285715,1
-0.47058824,-3.0,1.7,0.0,-0.4,0.0,2.2727273,1.0,0.0,1
0.64705884,0.0,1.4,0.0,0.5,0.3,0.18181819,0.08695652,0.14285715,4
0.5882353,0.0,1.4,7.0,0.5,0.0,0.18181819,0.04347826,0.14285715,4
0.05882353,0.0,1.7,3.0,0.2,0.0,1.3636364,0.4347826,-0.14285715,1
3.5294118,0.0,2.4,-3.0,1.4,-0.4,-3.4545455,-0.3043478,2.4285715,5
-0.1764706,-2.0,-0.3,0.0,0.0,0.0,-0.09090909,-0.2173913,0.0,1
-0.47058824,0.0,-0.2,-6.0,-0.4,0.0,0.36363637,0.13043478,0.14285715,1
-0.47058824,0.0,-0.6,0.0,-0.8,1.1,0.09090909,0.3043478,0.5714286,1
0.7647059,4.0,0.1,0.0,0.7,0.0,-1.2727273,-0.73913044,0.0,1
0.05882353,0.0,0.2,0.0,0.2,1.4,0.0,-0.2173913,-0.14285715,1
-0.47058824,-42.0,-0.7,0.0,-0.3,0.0,0.0,-0.17391305,0.0,3
-0.47058824,0.0,-0.3,-4.0,-2.2,0.0,0.36363637,1.6956521,2.7142856,1
0.1764706,-1.0,0.1,-3.0,0.2,0.0,-0.27272728,-0.3043478,0.0,1
0.0,0.0,-0.9,0.0,0.1,0.0,-0.90909094,-0.6086956,0.0,1
0.3529412,5.0,-0.4,0.0,0.4,-1.9,-1.0909091,-0.6086956,0.0,1
0.64705884,0.0,0.3,4.0,0.7,0.3,-0.72727275,-0.6086956,-0.14285715,1
-0.05882353,-1.0,-0.2,0.0,0.1,1.1,-0.09090909,-0.3043478,-0.14285715,1
0.5882353,0.0,1.5,0.0,0.0,-2.0,0.27272728,0.5652174,0.85714287,4
-0.47058824,0.0,0.1,0.0,-0.7,-0.6,0.72727275,0.47826087,0.42857143,1
0.23529412,0.0,2.3,0.0,0.4,0.2,1.5454545,0.5652174,-0.14285715,1
-0.47058824,0.0,-0.7,0.0,-0.7,-0.4,0.0,0.13043478,0.42857143,1
0.64705884,0.0,1.2,0.0,0.0,-1.4,0.09090909,0.4347826,0.85714287,4
0.0,0.0,0.3,6.0,0.1,-1.2,0.18181819,-0.08695652,0.0,1
0.29411766,0.0,0.5,1.0,0.4,0.0,-0.09090909,-0.2173913,-0.14285715,1
0.64705884,0.0,1.2,-4.0,0.2,0.0,0.09090909,0.2173913,0.5714286,4
-0.1764706,-5.0,-0.8,0.0,0.0,0.0,-0.54545456,-0.4347826,-0.14285715,1
3.3529413,0.0,2.0,3.0,1.4,-0.1,-3.4545455,-0.47826087,2.142857,5
-0.05882353,0.0,0.4,4.0,0.1,0.0,0.36363637,-0.04347826,-0.14285715,1
0.5882353,0.0,1.3,0.0,0.0,-3.0,0.18181819,0.47826087,0.85714287,4
-0.11764706,0.0,-0.6,-5.0,0.0,-0.4,-0.45454547,-0.39130434,0.0,1
-0.1764706,5.0,0.7,1.0,0.0,0.0,0.8181818,0.2173913,-0.14285715,1
0.3529412,-1.0,-0.1,0.0,0.5,0.4,-0.72727275,-0.6086956,-0.14285715,1
-0.47058824,0.0,-0.1,0.0,-0.3,0.7,0.54545456,0.08695652,0.0,1
-0.47058824,0.0,-0.6,0.0,-0.7,-0.5,0.09090909,0.17391305,0.42857143,1
-0.1764706,-1.0,0.3,0.0,0.0,0.0,0.45454547,0.04347826,-0.14285715,1
0.23529412,3.0,0.5,0.0,0.4,0.0,0.0,-0.2173913,-0.14285715,1
-0.47058824,0.0,-0.3,0.0,-0.7,-2.3,0.36363637,0.3478261,0.42857143,1
0.5294118,0.0,0.4,-7.0,0.6,0.0,-0.54545456,-0.47826087,-0.14285715,1
-0.47058824,0.0,-0.4,0.0,-0.3,2.7,0.36363637,-0.04347826,-0.14285715,1
0.64705884,0.0,1.4,0.0,0.0,-0.6,0.18181819,0.47826087,0.85714287,4
-0.47058824,0.0,1.7,0.0,-0.4,-0.5,2.2727273,1.0,0.14285715,1
0.3529412,0.0,0.0,0.0,0.5,1.9,-0.6363636,-0.5652174,-0.14285715,1
-0.47058824,0.0,-0.7,-4.0,-0.8,-2.0,0.0,0.26086956,0.5714286,1
-0.47058824,0.0,-0.5,-4.0,-2.1,0.0,0.27272728,1.4782609,2.4285715,1
2.1176472,0.0,0.1,0.0,-3.1,1.2,-3.1818182,2.652174,7.142857,5
-0.47058824,0.0,-0.4,0.0,-0.3,0.5,0.27272728,-0.04347826,0.0,1
-0.1764706,-3.0,0.4,0.0,0.0,0.0,0.54545456,0.08695652,-0.14285715,1
0.5882353,0.0,-0.4,0.0,-1.2,0.3,-1.4545455,0.73913044,2.5714285,4
0.5882353,-5.0,-0.7,-16.0,-2.1,0.0,-1.6363636,1.3913044,3.857143,4
-0.11764706,0.0,0.0,-2.0,0.1,2.4,0.09090909,-0.2173913,-0.14285715,1
-0.47058824,1.0,0.0,0.0,-0.6,-3.0,0.72727275,0.3478261,0.2857143,1
-0.05882353,0.0,0.5,-1.0,0.1,0.0,0.45454547,0.0,-0.14285715,1
0.11764706,0.0,0.5,-3.0,0.2,0.0,0.09090909,-0.13043478,-0.14285715,1
0.05882353,0.0,0.7,8.0,0.2,0.0,0.45454547,0.0,-0.14285715,1
-0.05882353,0.0,-0.2,-1.0,0.1,0.3,-0.18181819,-0.3043478,-0.14285715,1
-0.11764706,0.0,0.2,0.0,0.1,1.8,0.27272728,-0.13043478,-0.14285715,1
0.4117647,0.0,2.0,4.0,0.5,-0.3,1.0909091,0.3043478,-0.14285715,1
-0.47058824,0.0,-0.2,0.0,-0.3,-0.1,0.45454547,0.04347826,0.0,1
-0.23529412,1.0,-0.4,0.0,0.0,0.7,-0.09090909,-0.3043478,-0.14285715,1
-0.11764706,-3.0,-0.1,0.0,0.0,-1.2,0.0,-0.13043478,0.0,1
0.64705884,5.0,1.4,0.0,0.6,0.0,0.09090909,-0.08695652,0.0,1
