configuracion,idx_original,clase_objetivo,es_semilla_valida,k,radio_percentil_distancias,umbral_densidad,radio_percentil_riesgos,umbral_entropia,umbral_riesgo,entropia,criterio_pureza,proporcion_min,proporcion_min_valor,densidad,densidad_valor,riesgo,riesgo_valor,pasa_pureza,pasa_densidad,pasa_riesgo,vecinos_validos_por_percentil,synthetics_from_this_seed,cant_vecinos_en_p_elegido,cant_min_en_p_elegido
PRD70_PR40_CPent_UD060_UR045_PE70_I0,191,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,4/7,0.5714285714285714,0/7,0.0,True,False,True,4,0,4,3
PRD70_PR40_CPent_UD060_UR045_PE70_I0,203,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,7/7,1.0,1/7,0.14285714285714285,True,True,True,7,0,7,6
PRD70_PR40_CPent_UD060_UR045_PE70_I0,197,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,1/7,0.14285714285714285,0/7,0.0,True,False,True,1,0,1,1
PRD70_PR40_CPent_UD060_UR045_PE70_I0,215,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.9852281360342515,entropia,4/7,0.5714285714285714,0/7,0.0,0/7,0.0,False,False,True,0,0,0,0
PRD70_PR40_CPent_UD060_UR045_PE70_I0,195,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.863120568566631,entropia,5/7,0.7142857142857143,7/7,1.0,2/7,0.2857142857142857,True,True,True,7,1,7,5
PRD70_PR40_CPent_UD060_UR045_PE70_I0,148,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.863120568566631,entropia,5/7,0.7142857142857143,7/7,1.0,1/7,0.14285714285714285,True,True,True,7,4,7,5
PRD70_PR40_CPent_UD060_UR045_PE70_I0,186,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823273,entropia,1/7,0.14285714285714285,7/7,1.0,3/7,0.42857142857142855,False,True,True,7,0,7,1
PRD70_PR40_CPent_UD060_UR045_PE70_I0,202,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.0,entropia,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,4,7,7
PRD70_PR40_CPent_UD060_UR045_PE70_I0,187,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.9852281360342515,entropia,3/7,0.42857142857142855,7/7,1.0,4/7,0.5714285714285714,False,True,False,7,0,7,3
PRD70_PR40_CPent_UD060_UR045_PE70_I0,181,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.9852281360342515,entropia,3/7,0.42857142857142855,7/7,1.0,1/7,0.14285714285714285,False,True,True,7,0,7,3
PRD70_PR40_CPent_UD060_UR045_PE70_I0,150,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.0,entropia,7/7,1.0,5/7,0.7142857142857143,0/7,0.0,True,True,True,5,2,5,5
PRD70_PR40_CPent_UD060_UR045_PE70_I0,219,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.9852281360342515,entropia,3/7,0.42857142857142855,3/7,0.42857142857142855,0/7,0.0,False,False,True,3,0,3,1
PRD70_PR40_CPent_UD060_UR045_PE70_I0,163,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,7/7,1.0,1/7,0.14285714285714285,True,True,True,7,1,7,6
PRD70_PR40_CPent_UD060_UR045_PE70_I0,188,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,1/7,0.14285714285714285,0/7,0.0,True,False,True,1,0,1,1
PRD70_PR40_CPent_UD060_UR045_PE70_I0,211,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.863120568566631,entropia,5/7,0.7142857142857143,7/7,1.0,2/7,0.2857142857142857,True,True,True,7,4,7,5
PRD70_PR40_CPent_UD060_UR045_PE70_I0,176,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.9852281360342515,entropia,4/7,0.5714285714285714,7/7,1.0,1/7,0.14285714285714285,False,True,True,7,0,7,4
PRD70_PR40_CPent_UD060_UR045_PE70_I0,189,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.9852281360342515,entropia,4/7,0.5714285714285714,7/7,1.0,0/7,0.0,False,True,True,7,0,7,4
PRD70_PR40_CPent_UD060_UR045_PE70_I0,209,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.863120568566631,entropia,2/7,0.2857142857142857,6/7,0.8571428571428571,1/7,0.14285714285714285,False,True,True,6,0,6,1
PRD70_PR40_CPent_UD060_UR045_PE70_I0,168,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.863120568566631,entropia,5/7,0.7142857142857143,7/7,1.0,2/7,0.2857142857142857,True,True,True,7,3,7,5
PRD70_PR40_CPent_UD060_UR045_PE70_I0,143,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.863120568566631,entropia,5/7,0.7142857142857143,0/7,0.0,0/7,0.0,True,False,True,0,0,0,0
PRD70_PR40_CPent_UD060_UR045_PE70_I0,154,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.863120568566631,entropia,5/7,0.7142857142857143,0/7,0.0,0/7,0.0,True,False,True,0,0,0,0
PRD70_PR40_CPent_UD060_UR045_PE70_I0,199,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.0,entropia,7/7,1.0,4/7,0.5714285714285714,0/7,0.0,True,False,True,4,0,4,4
PRD70_PR40_CPent_UD060_UR045_PE70_I0,153,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.9852281360342515,entropia,3/7,0.42857142857142855,7/7,1.0,4/7,0.5714285714285714,False,True,False,7,0,7,3
PRD70_PR40_CPent_UD060_UR045_PE70_I0,198,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.9852281360342515,entropia,4/7,0.5714285714285714,7/7,1.0,2/7,0.2857142857142857,False,True,True,7,0,7,4
PRD70_PR40_CPent_UD060_UR045_PE70_I0,200,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,7/7,1.0,1/7,0.14285714285714285,True,True,True,7,2,7,6
PRD70_PR40_CPent_UD060_UR045_PE70_I0,167,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.0,entropia,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,2,7,7
PRD70_PR40_CPent_UD060_UR045_PE70_I0,160,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,7/7,1.0,0/7,0.0,True,True,True,7,2,7,6
PRD70_PR40_CPent_UD060_UR045_PE70_I0,177,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,7/7,1.0,1/7,0.14285714285714285,True,True,True,7,2,7,6
PRD70_PR40_CPent_UD060_UR045_PE70_I0,210,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.863120568566631,entropia,2/7,0.2857142857142857,7/7,1.0,3/7,0.42857142857142855,False,True,True,7,0,7,2
PRD70_PR40_CPent_UD060_UR045_PE70_I0,166,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,7/7,1.0,1/7,0.14285714285714285,True,True,True,7,4,7,6
PRD70_PR40_CPent_UD060_UR045_PE70_I0,204,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.0,entropia,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1,7,7
PRD70_PR40_CPent_UD060_UR045_PE70_I0,170,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.0,entropia,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,4,7,7
PRD70_PR40_CPent_UD060_UR045_PE70_I0,206,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,7/7,1.0,1/7,0.14285714285714285,True,True,True,7,2,7,6
PRD70_PR40_CPent_UD060_UR045_PE70_I0,147,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,7/7,1.0,0/7,0.0,True,True,True,7,2,7,6
PRD70_PR40_CPent_UD060_UR045_PE70_I0,212,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823273,entropia,1/7,0.14285714285714285,0/7,0.0,0/7,0.0,False,False,True,0,0,0,0
PRD70_PR40_CPent_UD060_UR045_PE70_I0,180,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.863120568566631,entropia,5/7,0.7142857142857143,7/7,1.0,1/7,0.14285714285714285,True,True,True,7,3,7,5
PRD70_PR40_CPent_UD060_UR045_PE70_I0,161,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,0/7,0.0,0/7,0.0,True,False,True,0,0,0,0
PRD70_PR40_CPent_UD060_UR045_PE70_I0,207,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,1/7,0.14285714285714285,0/7,0.0,True,False,True,1,0,1,1
PRD70_PR40_CPent_UD060_UR045_PE70_I0,152,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.5916727785823275,entropia,6/7,0.8571428571428571,1/7,0.14285714285714285,0/7,0.0,True,False,True,1,0,1,1
PRD70_PR40_CPent_UD060_UR045_PE70_I0,182,im,True,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.863120568566631,entropia,5/7,0.7142857142857143,7/7,1.0,1/7,0.14285714285714285,True,True,True,7,3,7,5
PRD70_PR40_CPent_UD060_UR045_PE70_I0,214,im,False,7,0.8111790931817326,0.6,0.5671660693915587,0.863120568566631,0.45,0.9852281360342515,entropia,3/7,0.42857142857142855,0/7,0.0,0/7,0.0,False,False,True,0,0,0,0
