configuracion,idx_original,clase_objetivo,es_semilla_valida,k,radio_percentil_distancias,umbral_densidad,radio_percentil_riesgos,umbral_entropia,umbral_riesgo,entropia,criterio_pureza,proporcion_min,proporcion_min_valor,densidad,densidad_valor,riesgo,riesgo_valor,pasa_pureza,pasa_densidad,pasa_riesgo,vecinos_validos_por_percentil,synthetics_from_this_seed,cant_vecinos_en_p_elegido,cant_min_en_p_elegido
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,10,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,5/7,0.7142857142857143,7/7,1.0,2/7,0.2857142857142857,True,True,True,7,2,7,5
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,430,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,1/7,0.14285714285714285,0/7,0.0,True,False,True,1,0,1,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,27,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,3,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,212,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,0/7,0.0,0/7,0.0,True,False,True,0,0,0,0
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,36,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,4/7,0.5714285714285714,7/7,1.0,3/7,0.42857142857142855,False,True,False,7,0,7,4
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,171,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,4/7,0.5714285714285714,7/7,1.0,3/7,0.42857142857142855,False,True,False,7,0,7,4
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,237,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,4,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,353,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,180,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,2/7,0.2857142857142857,0/7,0.0,True,False,True,2,0,2,2
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,45,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,262,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,5/7,0.7142857142857143,0/7,0.0,True,True,True,5,1,5,5
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,461,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,0/7,0.0,0/7,0.0,True,False,True,0,0,0,0
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,43,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,6/7,0.8571428571428571,7/7,1.0,1/7,0.14285714285714285,True,True,True,7,0,7,6
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,18,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,2,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,236,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,4/7,0.5714285714285714,0/7,0.0,True,True,True,4,0,4,4
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,3,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,0/7,0.0,0/7,0.0,True,False,True,0,0,0,0
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,373,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,0,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,566,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,4/7,0.5714285714285714,7/7,1.0,0/7,0.0,False,True,True,7,0,7,4
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,330,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,5/7,0.7142857142857143,7/7,1.0,2/7,0.2857142857142857,True,True,True,7,1,7,5
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,253,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,372,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,317,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,2,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,514,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,3/7,0.42857142857142855,7/7,1.0,4/7,0.5714285714285714,False,True,False,7,0,7,3
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,264,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,3,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,138,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,0/7,0.0,0/7,0.0,True,False,True,0,0,0,0
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,215,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,5/7,0.7142857142857143,7/7,1.0,1/7,0.14285714285714285,True,True,True,7,2,7,5
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,16,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,0,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,105,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,6/7,0.8571428571428571,1/7,0.14285714285714285,0/7,0.0,True,False,True,1,0,1,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,328,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,3,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,201,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,517,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,72,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,1/7,0.14285714285714285,0/7,0.0,True,False,True,1,0,1,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,28,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,263,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,1/7,0.14285714285714285,7/7,1.0,6/7,0.8571428571428571,False,True,False,7,0,7,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,252,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,0/7,0.0,0/7,0.0,True,False,True,0,0,0,0
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,122,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,0/7,0.0,0/7,0.0,True,False,True,0,0,0,0
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,283,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,0,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,417,M,False,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,0/7,0.0,0/7,0.0,True,False,True,0,0,0,0
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,2,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,0,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,44,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,5/7,0.7142857142857143,7/7,1.0,2/7,0.2857142857142857,True,True,True,7,0,7,5
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,244,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,0,7,7
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,339,M,True,7,3.3215620469225033,0.5,2.317722561018672,,0.4,,proporcion,7/7,1.0,4/7,0.5714285714285714,0/7,0.0,True,True,True,4,0,4,4
