feature,D,p_value,normal_h0_p_ge_0_05,nota
age,0.07689010760474524,0.05270655948584635,True,
sex,0.4332178604550183,3.28920131808511e-52,False,
cp,0.28487804115216253,2.9601827359822895e-22,False,
trestbps,0.10260061138996956,0.00313524346586511,False,
chol,0.055395425346227545,0.2991967176597091,True,
fbs,0.5131257572567212,1.401756715582951e-74,False,
restecg,0.3385067784971434,1.76583553429824e-31,False,
thalach,0.07210192915482905,0.0815301212534526,True,
exang,0.4298900716170135,2.225086468139616e-51,False,
oldpeak,0.18529184538984733,1.4043875892576705e-09,False,
slope,0.3038021747711423,2.59592143616518e-25,False,
ca,0.3551939692058619,1.0395710184641627e-34,False,
thal,0.36739151361514355,3.504203738691982e-37,False,
