feature,D,p_value,normal_h0_p_ge_0_05,nota
radius_mean,0.11270764638637204,9.434635984253595e-07,False,
texture_mean,0.04907564879924714,0.12480467236144843,True,
perimeter_mean,0.1206840921827172,1.1144054524534442e-07,False,
area_mean,0.15599512193432186,1.4710767800521986e-12,False,
smoothness_mean,0.03596726750940449,0.44303717723957803,True,
compactness_mean,0.10111326202119292,1.6187614014224725e-05,False,
concavity_mean,0.1396156865210511,3.874883918419218e-10,False,
concave_points_mean,0.15759939534005346,8.238479105042068e-13,False,
symmetry_mean,0.051685028429722335,0.09236257591598795,True,
fractal_dimension_mean,0.09475349637766328,6.746634755864513e-05,False,
radius_se,0.1685029907085761,1.3638277128437172e-14,False,
texture_se,0.08895737209298782,0.00022846430171706854,False,
perimeter_se,0.16599278655180116,3.5941394430466696e-14,False,
area_se,0.23295873973066128,1.225909127794139e-27,False,
smoothness_se,0.12100366199463419,1.0198627643339864e-07,False,
compactness_se,0.12857727998242513,1.163942267520048e-08,False,
concavity_se,0.14535368199471516,5.906582155523013e-11,False,
concave_points_se,0.0800607981225484,0.0012783755292138912,False,
symmetry_se,0.13487680701485072,1.7288161946279924e-09,False,
fractal_dimension_se,0.15597214610326898,1.4832770153562181e-12,False,
radius_worst,0.13803315344735423,6.4222240483024e-10,False,
texture_worst,0.04090945198022866,0.2889042675855783,True,
perimeter_worst,0.12808291462500548,1.3465622186265113e-08,False,
area_worst,0.1890477022649844,2.795810888966113e-18,False,
smoothness_worst,0.03547026301094469,0.4607811983950991,True,
compactness_worst,0.11544614501318307,4.607310011656255e-07,False,
concavity_worst,0.10297391901036579,1.0475172686282109e-05,False,
concave_points_worst,0.09581919705172631,5.346053985392378e-05,False,
symmetry_worst,0.09000111512521469,0.00018446102820980994,False,
fractal_dimension_worst,0.11751546245017297,2.649901927614978e-07,False,
