configuracion	idx_original	clase_objetivo	es_semilla_valida	k	radio_percentil_distancias	umbral_densidad	radio_percentil_riesgos	umbral_entropia	umbral_riesgo	entropia	criterio_pureza	proporcion_min	proporcion_min_valor	densidad	densidad_valor	riesgo	riesgo_valor	pasa_pureza	pasa_densidad	pasa_riesgo	vecinos_validos_por_percentil	synthetics_from_this_seed	cant_vecinos_en_p_elegido	cant_min_en_p_elegido
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4596	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,863120569	entropia	2/7	0,285714286	7/7	1	3/7	0,428571429	FALSO	VERDADERO	VERDADERO	7	0	7	2
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4389	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,863120569	entropia	2/7	0,285714286	4/7	0,571428571	0/7	0	FALSO	VERDADERO	VERDADERO	4	0	4	2
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4480	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,985228136	entropia	4/7	0,571428571	3/7	0,428571429	0/7	0	FALSO	FALSO	VERDADERO	3	0	3	3
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4355	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,863120569	entropia	2/7	0,285714286	3/7	0,428571429	0/7	0	FALSO	FALSO	VERDADERO	3	0	3	0
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4737	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,591672779	entropia	1/7	0,142857143	4/7	0,571428571	0/7	0	FALSO	VERDADERO	VERDADERO	4	0	4	0
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4565	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,863120569	entropia	2/7	0,285714286	6/7	0,857142857	0/7	0	FALSO	VERDADERO	VERDADERO	6	0	6	2
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4718	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,985228136	entropia	3/7	0,428571429	7/7	1	0/7	0	FALSO	VERDADERO	VERDADERO	7	0	7	3
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4448	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,985228136	entropia	3/7	0,428571429	7/7	1	4/7	0,571428571	FALSO	VERDADERO	FALSO	7	0	7	3
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4501	Heat Dissipation Failure	VERDADERO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,863120569	entropia	5/7	0,714285714	7/7	1	0/7	0	VERDADERO	VERDADERO	VERDADERO	7	643	7	5
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4768	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,863120569	entropia	2/7	0,285714286	7/7	1	1/7	0,142857143	FALSO	VERDADERO	VERDADERO	7	0	7	2
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4391	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0	entropia	0/7	0	7/7	1	2/7	0,285714286	FALSO	VERDADERO	VERDADERO	7	0	7	0
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4119	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,591672779	entropia	1/7	0,142857143	7/7	1	0/7	0	FALSO	VERDADERO	VERDADERO	7	0	7	1
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4729	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,863120569	entropia	2/7	0,285714286	0/7	0	0/7	0	FALSO	FALSO	VERDADERO	0	0	0	0
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4138	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,985228136	entropia	3/7	0,428571429	7/7	1	1/7	0,142857143	FALSO	VERDADERO	VERDADERO	7	0	7	3
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4527	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,985228136	entropia	4/7	0,571428571	7/7	1	3/7	0,428571429	FALSO	VERDADERO	VERDADERO	7	0	7	4
PRD85_PR40_CPent_UD050_UR045_PE60_I0	4844	Heat Dissipation Failure	FALSO	7	0,441682985	0,5	0,302520705	0,863120569	0,45	0,985228136	entropia	3/7	0,428571429	7/7	1	0/7	0	FALSO	VERDADERO	VERDADERO	7	0	7	3
